Created 2018/1/22 08:46 by Windographer 4.0.19

Latitude = N 0.000000
Longitude = E 0.000000
Elevation = 0 m
Calm threshold = 0 m/s

Included flags: <Unflagged data>
Excluded flags: 

Time stamps indicate the beginning of the time step.

Date/Time	Speed 85 m [m/s]	Speed 85 m SD [m/s]	Speed 85 m Max [m/s]	Speed 85 m Min [m/s]	Speed 75 m [m/s]	Speed 75 m SD [m/s]	Speed 75 m Max [m/s]	Speed 75 m Min [m/s]	Speed 50 m [m/s]	Speed 50 m SD [m/s]	Speed 50 m Max [m/s]	Speed 50 m Min [m/s]	Direction 85 m [°] [°] [°]	Direction 85 m SD [°] [°] [°]	Direction 85 m Max [°] [°] [°]	Direction 85 m Min [°] [°] [°]	Direction 10 m [°] [°] [°]	Direction 10 m SD [°] [°] [°]	Direction 10 m Max [°] [°] [°]	Direction 10 m Min [°] [°] [°]	Temperature 10 m [°C]	Temperature 10 m SD [°C]	Temperature 10 m Max [°C]	Temperature 10 m Min [°C]	Pressure 7 m [kPa]	Pressure 7 m SD [kPa]	Pressure 7 m Max [kPa]	Pressure 7 m Min [kPa]	iPack Voltmtr V 7 m [°C]	iPack Voltmtr V 7 m SD [°C]	iPack Voltmtr V 7 m Max [°C]	iPack Voltmtr V 7 m Min [°C]	Speed 30 m [m/s]	Speed 30 m SD [m/s]	Speed 30 m Max [m/s]	Speed 30 m Min [m/s]	Speed 10 m [m/s]	Speed 10 m SD [m/s]	Speed 10 m Max [m/s]	Speed 10 m Min [m/s]	Custom [unit]	Custom SD [unit]	Custom Max [unit]	Custom Min [unit]	
2017-05-01 00:00	4.217	0.704	7.200	1.800	4.233	0.683	7.800	1.800	4.067	0.622	6.300	1.800					84.3	11.5	0.0	0.0	11.9	0.1	12.1	11.6	83.8	0.0	83.8	83.7	13.400	0.0000	13.400	13.400	4.083	0.603	6.400	1.100	3.767	0.619	6.400	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-01 01:00	4.383	0.572	7.200	1.800	4.500	0.608	7.200	1.800	4.333	0.589	6.300	1.800					85.7	9.1	0.0	0.0	11.7	0.1	11.8	11.3	83.8	0.0	83.8	83.8	13.400	0.0000	13.400	13.400	4.183	0.558	6.400	1.100	3.617	0.673	6.400	1.100	0.0000	0.0000	0.0000	0.0000
2017-05-01 02:00	5.000	0.603	7.200	3.300	4.833	0.555	6.300	2.500	4.567	0.539	6.300	2.600					89.9	10.1	0.0	0.0	11.6	0.1	11.8	11.3	83.8	0.0	83.8	83.8	13.400	0.0000	13.400	13.400	4.500	0.569	6.400	1.800	3.767	0.654	5.600	1.100	0.0000	0.0000	0.0000	0.0000
2017-05-01 03:00	5.067	0.552	7.200	2.500	4.950	0.539	7.200	2.500	4.633	0.521	6.300	1.800					85.2	8.8	0.0	0.0	11.3	0.1	11.6	11.3	83.8	0.0	83.8	83.8	13.400	0.0000	13.400	13.400	4.633	0.507	6.400	2.600	3.900	0.640	5.600	1.100	0.0000	0.0000	0.0000	0.0000
2017-05-01 04:00	4.767	0.558	7.200	2.500	4.733	0.503	6.300	2.500	4.717	0.503	6.300	2.600					82.5	7.0	0.0	0.0	11.3	0.1	11.6	11.0	83.8	0.0	83.8	83.8	13.333	0.0000	13.400	13.400	4.683	0.453	6.400	3.400	4.150	0.535	5.600	1.800	0.0000	0.0000	0.0000	0.0000
2017-05-01 05:00	5.250	0.620	7.800	1.800	5.350	0.606	7.200	3.300	5.417	0.638	8.500	3.300					88.1	12.3	0.0	0.0	11.1	0.1	11.3	10.8	83.8	0.0	83.9	83.8	13.300	0.0000	13.400	13.300	5.367	0.705	8.500	1.100	4.467	0.890	7.800	1.100	0.0000	0.0000	0.0000	0.0000
2017-05-01 06:00	6.367	0.652	8.500	4.100	6.400	0.687	8.500	3.300	5.717	0.720	8.500	3.300					78.7	12.0	0.0	0.0	11.2	0.1	11.6	11.0	83.8	0.0	83.9	83.8	13.317	0.0000	13.500	13.300	5.133	0.804	8.500	1.800	4.400	0.870	7.800	1.100	0.0000	0.0000	0.0000	0.0000
2017-05-01 07:00	5.233	0.939	8.500	1.100	5.100	0.939	8.500	1.100	4.017	0.969	7.800	0.300					79.4	18.1	0.0	0.0	12.2	0.1	13.2	11.3	83.9	0.0	84.0	83.8	14.150	0.0577	14.300	13.500	3.383	0.849	7.200	0.300	3.000	0.770	7.200	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-01 08:00	3.950	1.176	7.800	0.300	3.817	1.221	7.200	0.300	3.000	1.252	7.200	0.300					136.3	36.9	0.0	0.0	13.8	0.1	14.2	13.2	84.0	0.0	84.0	84.0	14.200	0.0000	14.200	14.200	2.633	1.170	6.400	0.300	2.083	1.096	6.400	0.300	0.0000	0.0000	0.0000	0.0000
2017-05-01 09:00	4.800	0.927	8.500	0.300	4.733	0.961	8.500	0.300	4.150	1.075	8.500	0.300					174.6	23.9	0.0	0.0	14.7	0.1	15.3	14.0	84.1	0.0	84.1	84.0	14.183	0.0816	14.200	13.600	3.917	1.141	8.500	0.300	3.533	1.197	7.800	0.300	0.0000	0.0000	0.0000	0.0000
